ScaleItemConceptID,ScaleID,ItemConceptID
1,1,45
2,1,26
3,1,14
4,1,46
5,1,41
6,1,36
7,1,44
8,1,3
9,1,2
10,2,35
11,2,29
12,2,34
13,2,30
14,2,33
15,2,28
16,2,27
17,2,22
18,2,47
19,4,12
20,4,10
21,4,21
22,4,17
23,4,16
24,4,13
25,4,5
26,4,15
27,4,9
28,4,11
29,5,7
30,5,8
31,5,24
32,5,32
33,5,1
34,5,40
35,5,25
36,3,37
37,3,42
38,3,39
39,3,43
40,3,38
41,3,31
42,6,4
43,6,23
44,6,6
45,6,20
46,6,19
47,6,18
48,7,45
49,7,26
50,7,14
51,7,46
52,7,41
53,7,36
54,7,44
55,7,3
56,7,2
57,7,35
58,7,29
59,7,34
60,7,30
61,7,33
62,7,28
63,7,27
64,7,22
65,7,47
66,7,7
67,7,8
68,7,24
69,7,32
70,7,1
71,7,40
72,7,25
73,7,37
74,7,42
75,7,39
76,7,43
77,7,38
78,7,31
79,7,4
80,7,23
81,7,6
82,7,20
83,7,19
84,7,18
85,8,45
86,8,26
87,8,14
88,8,46
89,8,41
90,8,36
91,8,44
92,8,3
93,8,2
94,8,35
95,8,29
96,8,34
97,8,30
98,8,33
99,8,28
100,8,27
101,8,22
102,8,47
103,8,12
104,8,10
105,8,21
106,8,17
107,8,16
108,8,13
109,8,5
110,8,15
111,8,9
112,8,11
113,8,7
114,8,8
115,8,24
116,8,32
117,8,1
118,8,40
119,8,25
120,8,37
121,8,42
122,8,39
123,8,43
124,8,38
125,8,31
126,8,4
127,8,23
128,8,6
129,8,20
130,8,19
131,8,18
132,9,45
133,9,7
134,9,42
135,9,2
136,9,44
137,9,24
138,9,27
139,9,19
140,9,30
141,9,20
142,9,31
143,9,47
144,9,1
145,9,18
146,9,43
147,10,12
148,10,10
149,10,21
150,10,17
151,10,16
152,10,13
153,10,5
154,10,15
155,10,9
156,10,11
157,10,45
158,10,7
159,10,42
160,10,2
161,10,44
162,10,24
163,10,27
164,10,19
165,10,30
166,10,20
167,10,31
168,10,47
169,10,1
170,10,18
171,10,43
172,13,48
173,13,49
174,13,50
175,13,51
176,13,52
177,13,53
178,13,54
179,14,55
180,14,56
181,14,57
182,14,58
183,14,59
184,14,60
185,14,61
186,15,62
187,15,63
188,15,64
189,15,65
190,15,66
191,15,67
192,15,68
193,16,69
194,16,70
195,16,71
196,16,72
197,16,73
198,16,74
199,16,75
200,17,76
201,17,77
202,17,78
203,17,79
204,17,80
205,17,81
206,17,82
