CodebookCompID,CodebookID,CodebookLanguage,OptionID,OptionPosition,OptionValue
101,26,21,101,1,0
102,26,21,102,2,1
103,26,21,103,3,2
104,26,21,104,4,3
1,1,1,1,1,0
2,1,1,2,2,1
3,1,1,3,3,2
4,1,1,4,4,3
5,2,2,5,1,0
6,2,2,6,2,1
7,2,2,7,3,2
8,2,2,8,4,3
9,3,3,9,1,0
10,3,3,10,2,1
11,3,3,11,3,2
12,3,3,12,4,3
13,4,4,13,1,0
14,4,4,14,2,1
15,4,4,15,3,2
16,4,4,16,4,3
17,5,5,17,1,0
18,5,5,18,2,1
19,5,5,19,3,2
20,5,5,20,4,3
21,6,6,21,1,0
22,6,6,22,2,1
23,6,6,23,3,2
24,6,6,24,4,3
25,7,7,25,1,0
26,7,7,26,2,1
27,7,7,27,3,2
28,7,7,28,4,3
29,8,8,29,1,0
30,8,8,30,2,1
31,8,8,31,3,2
32,8,8,32,4,3
33,9,9,33,1,0
34,9,9,34,2,1
35,9,9,35,3,2
36,9,9,36,4,3
37,10,10,37,1,0
38,10,10,38,2,1
39,10,10,39,3,2
40,10,10,40,4,3
41,11,11,41,1,0
42,11,11,42,2,1
43,11,11,43,3,2
44,11,11,44,4,3
45,12,12,45,1,0
46,12,12,46,2,1
47,12,12,47,3,2
48,12,12,48,4,3
49,13,13,49,1,0
50,13,13,50,2,1
51,13,13,51,3,2
52,13,13,52,4,3
53,14,14,53,1,0
54,14,14,54,2,1
55,14,14,55,3,2
56,14,14,56,4,3
57,15,15,57,1,0
58,15,15,58,2,1
59,15,15,59,3,2
60,15,15,60,4,3
61,16,16,61,1,0
62,16,16,62,2,1
63,16,16,63,3,2
64,16,16,64,4,3
65,17,17,65,1,0
66,17,17,66,2,1
67,17,17,67,3,2
68,17,17,68,4,3
69,18,18,69,1,0
70,18,18,70,2,1
71,18,18,71,3,2
72,18,18,72,4,3
73,19,19,73,1,0
74,19,19,74,2,1
75,19,19,75,3,2
76,19,19,76,4,3
77,20,20,77,1,0
78,20,20,78,2,1
79,20,20,79,3,2
80,20,20,80,4,3
81,21,21,81,1,0
82,21,21,82,2,1
83,21,21,83,3,2
84,21,21,84,4,3
85,22,22,85,1,0
86,22,22,86,2,1
87,22,22,87,3,2
88,22,22,88,4,3
89,23,23,89,1,0
90,23,23,90,2,1
91,23,23,91,3,2
92,23,23,92,4,3
93,24,24,93,1,0
94,24,24,94,2,1
95,24,24,95,3,2
96,24,24,96,4,3
97,25,1,97,1,0
98,25,1,98,2,1
99,25,1,99,3,2
100,25,1,100,4,3
